model_name,trace_name,pattern,log_dict,extra_parameters
TimesNet,9,continuous,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.4407660961151123, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 283.4249486725448, 'mse': 80329.70153003465, 'r2': -0.7461591631215583, 'mae': 238.94128972331478, 'crane_error': 2.6212407048090407, 'cold_start_invocation_ratio': 0.282494837681167, 'utilization_ratio': 0.784748976169008, 'over_provisioned_ratio': 0.27429283805097426, 'cold_start_time_slot_ratio': 0.6333333333333333}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,9,continuous,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0009698867797851562, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 70.35483368613073, 'mse': 4949.802623003115, 'r2': 0.8924041414175004, 'mae': 57.15866360416667, 'crane_error': 0.144684358705717, 'cold_start_invocation_ratio': 0.0022339112463845867, 'utilization_ratio': 0.8842055036641964, 'over_provisioned_ratio': 0.1309588052279081, 'cold_start_time_slot_ratio': 0.1}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,9,continuous,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.007214784622192383, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 12.71410306364633, 'mse': 161.648416713021, 'r2': 0.9964861830845718, 'mae': 9.43736948472222, 'crane_error': 0.07829153388404402, 'cold_start_invocation_ratio': 0.010994250075011333, 'utilization_ratio': 0.9891226457316963, 'over_provisioned_ratio': 0.010996972231139981, 'cold_start_time_slot_ratio': 0.5354166666666667}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,2,continuous,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.5057260990142822, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 273.5392820975816, 'mse': 74823.7388504603, 'r2': -0.6713901319786302, 'mae': 233.3367790454369, 'crane_error': None, 'cold_start_invocation_ratio': 0.4489578400569607, 'utilization_ratio': 0.7226025524606295, 'over_provisioned_ratio': 0.38388661456394, 'cold_start_time_slot_ratio': 0.5229166666666667}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,2,continuous,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0009658336639404297, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 98.54287417256776, 'mse': 9710.698050190522, 'r2': 0.7830853530568699, 'mae': 52.01146202083334, 'crane_error': 0.9424339897422701, 'cold_start_invocation_ratio': 0.07056777734200957, 'utilization_ratio': 0.8968000776774602, 'over_provisioned_ratio': 0.11507572857242462, 'cold_start_time_slot_ratio': 0.4152777777777778}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,2,continuous,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.007242918014526367, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 82.48619223117308, 'mse': 6803.9719087980375, 'r2': 0.8480149257262772, 'mae': 52.54243520069445, 'crane_error': 0.9099974916011532, 'cold_start_invocation_ratio': 0.09361748000652749, 'utilization_ratio': 0.9141426122372558, 'over_provisioned_ratio': 0.09392121821410376, 'cold_start_time_slot_ratio': 0.41944444444444445}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,14,continuous,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.4457211494445801, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 22.505161500907583, 'mse': 506.4822941819329, 'r2': -0.801889447996504, 'mae': 18.126872234871577, 'crane_error': None, 'cold_start_invocation_ratio': 0.25265096028351247, 'utilization_ratio': 0.8354994273748061, 'over_provisioned_ratio': 0.19688891127318361, 'cold_start_time_slot_ratio': 0.5111111111111111}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,14,continuous,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0009286403656005859, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 4.141400571321362, 'mse': 17.151198692140902, 'r2': 0.93898194606432, 'mae': 3.0909731875000004, 'crane_error': 0.08084154738115765, 'cold_start_invocation_ratio': 0.0016847716817950185, 'utilization_ratio': 0.9302583070083357, 'over_provisioned_ratio': 0.07497024478711677, 'cold_start_time_slot_ratio': 0.10277777777777777}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,14,continuous,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0071370601654052734, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 1.280458895024742, 'mse': 1.6395749818479834, 'r2': 0.9941669572797944, 'mae': 0.850003975, 'crane_error': 0.06578455078610367, 'cold_start_invocation_ratio': 0.01057201272390279, 'utilization_ratio': 0.9896014870173256, 'over_provisioned_ratio': 0.010507778251238272, 'cold_start_time_slot_ratio': 0.4597222222222222}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,10,sparse,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.4991130828857422, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 1.089764464376641, 'mse': 1.1875865878181076, 'r2': -0.22475848788061392, 'mae': 0.4674220400106826, 'crane_error': None, 'cold_start_invocation_ratio': 1.2155892583327015, 'utilization_ratio': 0.9940568002626866, 'over_provisioned_ratio': 0.00597873253896903, 'cold_start_time_slot_ratio': 0.8298611111111112}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,10,sparse,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0009250640869140625, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 1.8676644170575123, 'mse': 3.4881703747427775, 'r2': -2.5973513994368638, 'mae': 1.073773638888889, 'crane_error': 32.69261336351732, 'cold_start_invocation_ratio': 0.5318274349423333, 'utilization_ratio': 0.30540046930643644, 'over_provisioned_ratio': 2.274389205330955, 'cold_start_time_slot_ratio': 0.20208333333333334}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,10,sparse,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.007884979248046875, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 0.9594201736422855, 'mse': 0.9204870695917932, 'r2': 0.05070134419573591, 'mae': 0.4937042, 'crane_error': 10.64231189264545, 'cold_start_invocation_ratio': 0.6460886526062842, 'utilization_ratio': 0.6082112625404428, 'over_provisioned_ratio': 0.6441655417939651, 'cold_start_time_slot_ratio': 0.3576388888888889}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
